,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (mm),Total Precip (mm),Winter,Summer,Spring,Fall
1253,2015,6,3,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2365,1990,10,1,9.5,87.8,0.0,87.8,0.0,0.0,0.0,1.0
1468,2016,7,5,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2134,1960,9,1,17.6,6.4,0.0,6.4,0.0,0.0,0.0,1.0
1208,2016,6,18,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
772,2015,4,27,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
889,1953,4,1,5.7,62.0,0.0,62.0,0.0,0.0,1.0,0.0
2711,2016,12,9,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
672,1944,3,1,-3.6,53.3,282.0,81.5,0.0,0.0,1.0,0.0
2743,2015,12,8,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2112,1982,9,1,14.8,128.9,0.0,128.9,0.0,0.0,0.0,1.0
2250,2015,10,31,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
1232,2015,6,24,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
382,2003,2,1,-7.0,22.6,236.0,46.8,1.0,0.0,0.0,0.0
2452,2017,11,10,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2839,1986,12,1,-1.2,53.7,132.0,67.3,1.0,0.0,0.0,0.0
1963,2016,9,29,15.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
1926,2018,9,6,21.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
912,2018,5,24,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1339,1978,6,1,16.7,25.2,0.0,25.2,0.0,1.0,0.0,0.0
1866,1973,8,1,21.9,29.2,0.0,29.2,0.0,1.0,0.0,0.0
2628,1966,11,1,3.9,128.0,157.0,142.7,0.0,0.0,0.0,1.0
2128,1966,9,1,14.0,55.1,0.0,55.1,0.0,0.0,0.0,1.0
1343,1974,6,1,16.6,127.3,0.0,127.3,0.0,1.0,0.0,0.0
895,1947,4,1,5.1,56.4,185.0,74.9,0.0,0.0,1.0,0.0
2196,2017,10,23,17.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0
1928,2018,9,4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,1963,1,1,-8.6,1.3,264.0,25.9,1.0,0.0,0.0,0.0
1569,2009,7,1,19.2,84.8,0.0,84.8,0.0,1.0,0.0,0.0
1785,2014,8,11,23.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0
972,2016,5,26,21.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1058,2014,5,2,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1754,2015,8,11,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1068,2005,5,1,11.9,14.4,0.0,14.4,0.0,0.0,1.0,0.0
2151,1943,9,1,14.5,35.1,0.0,35.1,0.0,0.0,0.0,1.0
2830,1995,12,1,-5.1,5.0,306.0,35.8,1.0,0.0,0.0,0.0
1390,2018,7,21,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1525,2014,7,10,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1069,2004,5,1,13.2,98.8,0.0,98.8,0.0,0.0,1.0,0.0
2427,2018,11,5,9.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2747,2015,12,4,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2401,1954,10,1,11.0,213.9,0.0,213.9,0.0,0.0,0.0,1.0
273,2017,2,14,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
357,2014,2,15,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1439,2017,7,3,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1118,1955,5,1,14.6,59.7,0.0,59.7,0.0,0.0,1.0,0.0
1297,2013,6,19,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2379,1976,10,1,6.1,59.4,41.0,64.5,0.0,0.0,0.0,1.0
1121,1952,5,1,11.5,72.6,0.0,72.6,0.0,0.0,1.0,0.0
2590,2004,11,1,5.4,62.0,28.0,64.8,0.0,0.0,0.0,1.0
634,1982,3,1,-2.0,41.7,246.0,64.8,0.0,0.0,1.0,0.0
2368,1987,10,1,7.0,47.1,10.0,48.1,0.0,0.0,0.0,1.0
1955,2017,9,7,15.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0
1122,1951,5,1,13.7,36.8,0.0,36.8,0.0,0.0,1.0,0.0
562,2015,3,10,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2059,2013,9,23,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
785,2015,4,14,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1099,1974,5,1,9.9,140.0,0.0,140.0,0.0,0.0,1.0,0.0
1347,1970,6,1,17.1,38.1,0.0,38.1,0.0,1.0,0.0,0.0
644,1972,3,1,-4.3,31.2,424.0,96.8,0.0,0.0,1.0,0.0
1309,2008,6,1,19.6,110.4,0.0,110.4,0.0,1.0,0.0,0.0
575,2014,3,28,6.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0
473,2018,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2647,1947,11,1,2.1,17.5,122.0,29.7,0.0,0.0,0.0,1.0
564,2015,3,8,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1342,1975,6,1,18.1,62.5,0.0,62.5,0.0,1.0,0.0,0.0
715,2017,4,24,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
990,2016,5,8,10.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1110,1963,5,1,12.0,72.6,0.0,72.6,0.0,0.0,1.0,0.0
2332,2013,10,11,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2677,2017,12,12,-7.0,0.0,60.0,4.0,1.0,0.0,0.0,0.0
211,1957,1,1,-8.5,19.3,366.0,55.9,1.0,0.0,0.0,0.0
2264,2015,10,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2329,2013,10,14,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,1984,1,1,-9.7,3.6,334.0,30.2,1.0,0.0,0.0,0.0
1674,2017,8,29,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2336,2013,10,7,13.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0
1027,2015,5,2,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2661,2017,12,28,-18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2414,1941,10,1,10.0,89.2,0.0,89.2,0.0,0.0,0.0,1.0
1996,2015,9,26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2877,1948,12,1,-1.7,16.5,312.0,47.8,1.0,0.0,0.0,0.0
927,2018,5,9,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2133,1961,9,1,19.3,42.4,0.0,42.4,0.0,0.0,0.0,1.0
755,2016,4,14,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2625,1969,11,1,3.3,64.0,74.0,71.1,0.0,0.0,0.0,1.0
1447,2016,7,26,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1600,1978,7,1,20.4,42.5,0.0,42.5,0.0,1.0,0.0,0.0
2689,2016,12,31,0.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0
1766,2014,8,30,24.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
2230,2016,10,20,13.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0
1268,2014,6,18,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2314,2013,10,29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1252,2015,6,4,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
563,2015,3,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2672,2017,12,17,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2582,2012,11,1,3.5,10.2,0.0,10.2,0.0,0.0,0.0,1.0
2790,2013,12,23,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1937,2017,9,25,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2299,2014,10,13,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1258,2014,6,28,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2076,2013,9,6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
430,1955,2,1,-5.3,24.1,145.0,38.6,1.0,0.0,0.0,0.0
2152,1942,9,1,15.1,99.8,0.0,99.8,0.0,0.0,0.0,1.0
1282,2014,6,4,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1618,1960,7,1,20.3,103.9,0.0,103.9,0.0,1.0,0.0,0.0
1837,2002,8,1,22.6,11.6,0.0,11.6,0.0,1.0,0.0,0.0
1158,2018,6,8,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1060,2013,5,1,15.2,75.6,4.0,76.2,0.0,0.0,1.0,0.0
1875,1964,8,1,16.8,147.6,0.0,147.6,0.0,1.0,0.0,0.0
523,2016,3,18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1210,2016,6,16,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1160,2018,6,6,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2156,1938,9,1,14.2,102.1,0.0,102.1,0.0,0.0,0.0,1.0
83,2016,1,10,0.0,18.0,0.0,18.0,1.0,0.0,0.0,0.0
259,2017,2,28,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
2048,2014,9,4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2202,2017,10,17,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,1959,1,1,-7.2,39.9,257.0,65.5,1.0,0.0,0.0,0.0
2841,1984,12,1,-0.2,41.2,194.0,61.3,1.0,0.0,0.0,0.0
2488,2016,11,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1103,1970,5,1,12.0,56.6,0.0,56.6,0.0,0.0,1.0,0.0
1852,1987,8,1,19.6,52.3,0.0,52.3,0.0,1.0,0.0,0.0
594,2014,3,9,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2439,2017,11,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,2017,1,30,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2858,1967,12,1,-1.9,58.9,107.0,69.6,1.0,0.0,0.0,0.0
846,1996,4,1,4.4,81.6,174.0,101.6,0.0,0.0,1.0,0.0
2735,2015,12,16,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
609,2007,3,1,0.4,18.8,133.0,33.4,0.0,0.0,1.0,0.0
2794,2013,12,19,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
2274,2015,10,7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1490,2015,7,14,21.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
1631,1947,7,1,20.3,103.1,0.0,103.1,0.0,1.0,0.0,0.0
2486,2016,11,6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1358,1959,6,1,19.9,22.4,0.0,22.4,0.0,1.0,0.0,0.0
2342,2013,10,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
929,2018,5,7,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,2017,1,11,4.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0
808,2014,4,21,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1623,1955,7,1,24.2,34.8,0.0,34.8,0.0,1.0,0.0,0.0
2326,2013,10,17,13.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
740,2016,4,29,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2301,2014,10,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2363,1992,10,1,7.4,65.2,4.0,66.0,0.0,0.0,0.0,1.0
1336,1981,6,1,17.3,61.5,0.0,61.5,0.0,1.0,0.0,0.0
2157,2018,10,31,9.0,16.0,0.0,16.0,0.0,0.0,0.0,1.0
1714,2016,8,20,26.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
1804,2013,8,23,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
909,2018,5,27,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2262,2015,10,19,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2784,2013,12,29,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2860,1965,12,1,-0.7,48.3,104.0,63.8,1.0,0.0,0.0,0.0
898,1944,4,1,4.3,71.1,117.0,82.8,0.0,0.0,1.0,0.0
720,2017,4,19,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1119,1954,5,1,11.3,19.3,0.0,19.3,0.0,0.0,1.0,0.0
941,2017,5,26,15.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0
1143,2018,6,23,18.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
270,2017,2,17,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1678,2017,8,25,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,2017,1,18,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1656,2018,8,16,25.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1695,2017,8,8,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,2014,1,26,-12.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
1302,2013,6,14,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1527,2014,7,8,20.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
1733,2016,8,1,24.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
668,1948,3,1,-2.1,44.5,135.0,57.9,0.0,0.0,1.0,0.0
186,1982,1,1,-10.1,20.4,440.0,54.3,1.0,0.0,0.0,0.0
160,2008,1,1,-2.1,35.6,228.0,58.2,1.0,0.0,0.0,0.0
1135,1938,5,1,12.1,72.4,0.0,72.4,0.0,0.0,1.0,0.0
2705,2016,12,15,-10.0,0.0,40.0,4.0,1.0,0.0,0.0,0.0
75,2016,1,18,-10.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0
1051,2014,5,9,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2072,2013,9,10,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
345,2014,2,27,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1633,1945,7,1,19.7,118.1,0.0,118.1,0.0,1.0,0.0,0.0
1999,2015,9,23,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1198,2016,6,28,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1921,2018,9,11,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2017,1,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2052,2013,9,30,17.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0
1041,2014,5,19,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2065,2013,9,17,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1213,2016,6,13,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,1949,1,1,-2.9,39.4,300.0,69.3,1.0,0.0,0.0,0.0
192,1976,1,1,-10.1,11.9,478.0,52.3,1.0,0.0,0.0,0.0
1930,2018,9,2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1220,2016,6,6,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2851,1974,12,1,-1.3,16.3,284.0,45.5,1.0,0.0,0.0,0.0
557,2015,3,15,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
905,2018,5,31,26.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0
1886,1953,8,1,20.6,102.9,0.0,102.9,0.0,1.0,0.0,0.0
2746,2015,12,5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
385,2000,2,1,-3.1,15.4,391.0,48.4,1.0,0.0,0.0,0.0
852,1990,4,1,8.3,50.8,26.0,53.0,0.0,0.0,1.0,0.0
1990,2016,9,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
502,2017,3,8,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1607,1971,7,1,19.0,78.5,0.0,78.5,0.0,1.0,0.0,0.0
2622,1972,11,1,1.0,53.1,178.0,72.1,0.0,0.0,0.0,1.0
2605,1989,11,1,1.9,78.3,50.0,78.5,0.0,0.0,0.0,1.0
1025,2015,5,4,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500,2015,11,22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2247,2016,10,3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
697,2018,4,12,7.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0
149,2014,1,6,-9.0,4.0,10.0,5.0,1.0,0.0,0.0,0.0
762,2016,4,7,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
667,1949,3,1,-1.7,25.4,376.0,63.0,0.0,0.0,1.0,0.0
568,2015,3,4,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1627,1951,7,1,21.0,90.4,0.0,90.4,0.0,1.0,0.0,0.0
2865,1960,12,1,-5.4,1.0,157.0,17.0,1.0,0.0,0.0,0.0
239,2018,2,20,10.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0
1982,2016,9,10,24.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
1017,2015,5,12,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1307,2010,6,1,19.2,191.6,0.0,191.6,0.0,1.0,0.0,0.0
1128,1945,5,1,9.4,145.0,0.0,145.0,0.0,0.0,1.0,0.0
2786,2013,12,27,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1564,2013,7,2,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2318,2013,10,25,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1037,2014,5,23,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1079,1994,5,1,11.8,78.8,0.0,78.8,0.0,0.0,1.0,0.0
1293,2013,6,23,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
637,1979,3,1,1.6,45.6,30.0,48.1,0.0,0.0,1.0,0.0
1817,2013,8,10,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1081,1992,5,1,12.3,69.7,0.0,69.7,0.0,0.0,1.0,0.0
1153,2018,6,13,23.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
806,2014,4,23,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2287,2014,10,25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
548,2015,3,24,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1413,2017,7,29,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
690,2018,4,19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016,2015,9,6,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
869,1973,4,1,6.5,60.2,23.0,62.2,0.0,0.0,1.0,0.0
2289,2014,10,23,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1484,2015,7,20,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
784,2015,4,15,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2281,2014,10,31,4.0,11.0,10.0,12.0,0.0,0.0,0.0,1.0
2479,2016,11,13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2627,1967,11,1,1.3,35.8,36.0,39.4,0.0,0.0,0.0,1.0
1559,2013,7,7,24.0,27.0,0.0,27.0,0.0,1.0,0.0,0.0
2502,2015,11,20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
977,2016,5,21,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2831,1994,12,1,-0.1,23.8,270.0,51.4,1.0,0.0,0.0,0.0
2498,2015,11,24,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0
131,2014,1,24,-14.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
1206,2016,6,20,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2769,2014,12,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
217,1951,1,1,-4.3,35.6,249.0,60.5,1.0,0.0,0.0,0.0
253,2018,2,6,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
245,2018,2,14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1227,2015,6,29,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1689,2017,8,14,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1303,2013,6,13,19.0,11.0,0.0,11.0,0.0,1.0,0.0,0.0
1292,2013,6,24,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2761,2014,12,21,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1780,2014,8,16,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1637,1941,7,1,21.5,68.1,0.0,68.1,0.0,1.0,0.0,0.0
1568,2010,7,1,23.3,89.6,0.0,89.6,0.0,1.0,0.0,0.0
1773,2014,8,23,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
962,2017,5,5,8.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0
949,2017,5,18,23.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
2456,2017,11,6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
769,2015,4,30,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
348,2014,2,24,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
698,2018,4,11,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
768,2016,4,1,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1196,2016,6,30,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2888,1937,12,1,-4.4,7.6,338.0,41.4,1.0,0.0,0.0,0.0
1820,2013,8,7,23.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
2710,2016,12,10,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1008,2015,5,21,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380,2005,2,1,-4.0,43.0,334.0,75.6,1.0,0.0,0.0,0.0
935,2018,5,1,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2103,1991,9,1,14.9,52.1,0.0,52.1,0.0,0.0,0.0,1.0
1716,2016,8,18,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2431,2018,11,1,6.0,30.0,0.0,30.0,0.0,0.0,0.0,1.0
474,2018,3,5,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
468,2018,3,11,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
377,2008,2,1,-5.3,30.6,768.0,107.6,1.0,0.0,0.0,0.0
332,2015,2,12,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2403,1952,10,1,6.9,16.5,8.0,17.3,0.0,0.0,0.0,1.0
1499,2015,7,5,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2046,2014,9,6,18.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0
729,2017,4,10,17.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0
2113,1981,9,1,14.3,103.3,0.0,103.3,0.0,0.0,0.0,1.0
2812,2013,12,1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
399,1986,2,1,-6.1,12.8,202.0,32.0,1.0,0.0,0.0,0.0
1604,1974,7,1,20.3,58.7,0.0,58.7,0.0,1.0,0.0,0.0
339,2015,2,5,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1845,1994,8,1,18.7,60.1,0.0,60.1,0.0,1.0,0.0,0.0
2721,2015,12,30,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2260,2015,10,21,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1589,1989,7,1,21.5,70.4,0.0,70.4,0.0,1.0,0.0,0.0
1736,2015,8,29,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
412,1973,2,1,-7.6,19.3,198.0,36.3,1.0,0.0,0.0,0.0
2515,2015,11,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
874,1968,4,1,7.6,30.2,0.0,30.2,0.0,0.0,1.0,0.0
220,1948,1,1,-9.7,2.5,376.0,40.1,1.0,0.0,0.0,0.0
1517,2014,7,18,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2683,2017,12,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2380,1975,10,1,9.4,54.9,0.0,54.9,0.0,0.0,0.0,1.0
2191,2017,10,28,7.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0
1471,2016,7,2,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2887,1938,12,1,-2.5,13.7,137.0,27.4,1.0,0.0,0.0,0.0
2415,1940,10,1,7.4,45.5,0.0,45.5,0.0,0.0,0.0,1.0
2203,2017,10,16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1272,2014,6,14,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
867,1975,4,1,2.8,42.2,272.0,69.6,0.0,0.0,1.0,0.0
957,2017,5,10,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1090,1983,5,1,10.1,99.5,0.0,99.5,0.0,0.0,1.0,0.0
1701,2017,8,2,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2119,1975,9,1,13.1,65.3,0.0,65.3,0.0,0.0,0.0,1.0
903,1939,4,1,4.1,57.7,325.0,90.2,0.0,0.0,1.0,0.0
2581,2013,11,1,12.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
946,2017,5,21,12.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0
1796,2013,8,31,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2231,2016,10,19,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001,2015,9,21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2017,1,15,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
420,1965,2,1,-5.9,38.4,564.0,107.2,1.0,0.0,0.0,0.0
2645,1949,11,1,1.5,23.4,246.0,48.0,0.0,0.0,0.0,1.0
138,2014,1,17,-1.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0
2024,2014,9,28,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1853,1986,8,1,18.4,146.2,0.0,146.2,0.0,1.0,0.0,0.0
2011,2015,9,11,18.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0
1973,2016,9,19,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
944,2017,5,23,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
654,1962,3,1,-0.4,7.9,41.0,11.9,0.0,0.0,1.0,0.0
471,2018,3,8,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
498,2017,3,12,-9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1138,2018,6,28,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2573,2013,11,9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
